“8.大西洋副高面积指数(55W-25W)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：8.28
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	0	0	0	3	12	14	22	24	19	9	5	0	9.00	
1952	1	1	8	13	10	17	23	22	16	12	0	2	10.42	
1953	1	0	0	9	13	20	21	21	17	12	7	8	10.75	9
1954	0	0	0	0	2	13	21	18	17	0	0	0	5.92	9
1955	0	0	0	0	13	16	23	22	19	14	7	6	10.00	8
1956	0	0	0	0	14	19	20	20	13	11	0	0	8.08	8
1957	0	0	2	3	4	14	18	21	10	11	0	5	7.33	10
1958	6	7	7	7	8	17	21	18	17	12	6	7	11.08	11
1959	1	6	11	14	12	17	21	17	14	13	12	8	12.17	12
1960	10	0	11	12	17	21	21	23	18	15	13	14	14.58	13
1961	10	6	10	16	7	21	20	23	18	14	9	10	13.67	12
1962	11	6	0	9	11	17	21	23	18	10	11	8	12.08	11
1963	0	0	0	0	5	15	17	20	20	7	0	5	7.42	9
1964	1	1	2	0	5	6	16	16	15	0	0	0	5.17	8
1965	0	0	0	0	0	18	21	18	12	11	0	0	6.67	6
1966	0	2	0	0	10	14	18	18	14	0	0	0	6.33	6
1967	0	0	0	0	1	6	21	20	7	0	0	0	4.58	6
1968	0	0	0	0	1	13	19	20	15	3	0	0	5.92	7
1969	0	0	5	7	10	19	21	20	15	1	1	0	8.25	6
1970	3	0	0	8	9	18	21	22	15	2	0	0	8.17	6
1971	0	0	0	0	2	13	14	20	1	1	0	0	4.25	6
1972	0	0	0	0	5	11	18	20	4	1	0	0	4.92	5
1973	1	0	0	0	1	2	21	17	14	0	0	0	4.67	5
1974	0	0	0	0	0	2	19	19	4	0	0	0	3.67	5
1975	0	0	0	0	2	10	17	19	19	0	0	0	5.58	5
1976	0	0	0	0	0	13	17	15	7	0	0	0	4.33	5
1977	0	3	0	0	3	8	21	20	14	12	0	1	6.83	6
1978	0	2	1	0	1	17	15	18	10	1	0	0	5.42	7
1979	0	1	0	0	7	16	21	21	12	13	0	0	7.58	7
1980	0	0	0	0	10	20	22	19	16	14	2	0	8.58	7
1981	0	0	2	0	7	14	22	16	16	1	0	0	6.50	8
1982	0	0	0	0	8	15	20	23	19	9	0	0	7.83	8
1983	1	4	2	7	10	15	22	21	17	8	7	0	9.50	7
1984	0	0	0	1	5	17	18	22	4	4	0	0	5.92	7
1985	0	0	0	0	3	14	22	21	7	1	0	3	5.92	8
1986	0	0	0	0	9	18	23	20	12	11	0	5	8.17	8
1987	1	1	0	5	7	17	21	20	20	19	8	7	10.50	9
1988	0	0	4	4	11	19	24	24	20	11	1	0	9.83	9
1989	0	0	0	0	5	15	23	23	18	10	0	6	8.33	9
1990	0	0	0	0	8	19	21	23	20	15	4	0	9.17	8
1991	1	0	0	0	8	19	21	23	21	0	0	0	7.75	8
1992	0	0	0	0	0	12	21	23	10	1	0	0	5.58	8
1993	0	0	0	1	7	16	21	20	16	4	0	0	7.08	8
1994	0	0	1	3	11	16	24	24	19	4	6	1	9.08	8
1995	2	1	1	2	10	14	20	21	20	9	1	1	8.50	8
1996	0	0	0	1	8	17	25	20	13	3	0	0	7.25	9
1997	0	0	0	0	3	13	23	24	15	5	1	6	7.50	8
1998	0	4	3	7	10	18	25	24	20	15	0	0	10.50	8
1999	0	0	0	0	6	14	19	20	11	10	0	0	6.67	8
2000	0	0	0	0	7	20	18	21	12	4	0	0	6.83	8
2001	0	0	0	3	10	17	22	24	14	14	1	0	8.75	8
2002	1	0	0	1	6	19	23	24	15	2	5	2	8.17	8
2003	3	0	0	6	10	18	24	21	17	8	0	0	8.92	9
2004	0	1	0	4	8	17	23	23	17	10	0	0	8.58	9
2005	0	0	9	6	9	14	24	21	22	15	0	0	10.00	9
2006	0	1	0	0	10	18	24	21	20	13	1	1	9.08	9
2007	0	5	0	7	10	17	24	20	13	6	0	0	8.50	9
2008	0	0	0	0	7	17	22	20	19	16	0	0	8.42	9
2009	1	0	0	4	8	15	22	24	20	11	0	1	8.83	9
2010	2	7	10	7	11	20	24	21	18	8	0	0	10.67	9
2011	0	0	0	0	7	16	25	23	19	0	0	0	7.50	9
2012	0	0	0	0	9	16	23	22	17	8	2	0	8.08	9
2013	1	0	7	5	8	21	22	22	19	17	0	0	10.17	9
2014	1	0	0	5	10	16	23	22	16	7	5	0	8.75	9
2015	0	0	0	0	11	16	21	24	17	16	0	2	8.92	7
2016	1	0	3	4	12	18	23	22	21	3	0	0	8.92	5
