“9.南海副高面积指数(100E-120E)” 1951~2019历史曲线（月份：1,2,3,4,5,6,7,8,9,10,11,12） 平均值时段：1981-2010  平均值：3.26
年度	1月	2月	3月	4月	5月	6月	7月	8月	9月	10月	11月	12月	平均值	五年滑动平均
1951	0	0	1	3	1	0	1	0	0	0	0	0	0.50	
1952	3	0	0	1	2	0	0	0	0	0	0	1	0.58	
1953	1	0	0	5	5	3	2	0	1	6	5	2	2.50	2
1954	0	0	1	7	6	5	4	0	0	5	3	2	2.75	2
1955	2	1	5	2	7	2	0	0	3	1	1	0	2.00	2
1956	0	1	3	5	4	3	0	0	0	3	2	1	1.83	2
1957	0	0	0	2	0	1	1	0	0	1	0	1	0.50	2
1958	3	0	5	7	3	0	0	1	0	3	1	4	2.25	2
1959	5	2	1	3	4	4	1	0	0	3	2	3	2.33	2
1960	1	0	0	2	3	0	2	0	1	3	5	3	1.67	2
1961	2	0	3	4	5	1	0	0	0	2	4	0	1.75	2
1962	0	2	0	2	4	2	0	1	2	3	4	2	1.83	2
1963	0	0	0	4	5	0	0	2	3	3	4	0	1.75	2
1964	1	1	1	3	1	2	1	0	1	2	0	0	1.08	2
1965	0	0	1	1	1	0	0	1	2	5	3	3	1.42	1
1966	2	1	0	1	1	3	0	1	0	5	3	0	1.42	1
1967	0	0	0	0	1	0	0	0	0	0	0	0	0.08	1
1968	0	0	0	0	0	0	0	0	0	1	3	0	0.33	1
1969	0	1	5	6	6	3	0	0	0	1	1	1	2.00	1
1970	0	1	1	2	4	1	0	0	0	1	1	0	0.92	1
1971	0	0	0	0	0	1	0	0	0	0	0	0	0.08	1
1972	0	0	0	3	0	0	0	0	1	5	5	1	1.25	1
1973	3	6	5	6	6	2	0	0	2	0	0	0	2.50	1
1974	0	0	0	0	0	0	0	0	1	0	1	0	0.17	1
1975	0	0	0	1	2	0	0	0	0	0	0	0	0.25	1
1976	0	0	0	1	0	0	0	0	0	3	0	2	0.50	1
1977	0	1	7	5	6	3	0	0	0	6	0	2	2.50	2
1978	3	4	5	4	5	1	0	0	0	0	1	6	2.42	2
1979	5	4	5	5	5	4	2	0	3	2	2	4	3.42	3
1980	1	2	4	7	7	4	1	2	0	5	2	1	3.00	3
1981	0	3	4	6	5	0	0	0	2	4	4	1	2.42	3
1982	0	2	3	3	7	3	0	0	2	5	4	5	2.83	3
1983	4	5	5	7	7	8	6	5	7	5	4	4	5.58	3
1984	0	1	4	5	4	0	0	0	3	2	1	0	1.67	3
1985	0	0	4	0	4	0	0	0	0	2	3	1	1.17	3
1986	2	0	1	6	0	0	0	0	0	4	1	5	1.58	3
1987	5	5	5	7	8	6	2	5	7	9	7	5	5.92	3
1988	4	2	4	5	6	3	4	2	3	2	4	0	3.25	3
1989	0	0	0	1	1	3	3	0	1	4	3	0	1.33	3
1990	0	2	3	3	2	0	1	1	1	4	4	2	1.92	2
1991	1	2	4	6	6	1	3	0	0	1	4	4	2.67	2
1992	1	1	6	5	4	1	3	0	2	2	0	2	2.25	3
1993	0	0	3	6	7	6	3	2	2	6	3	3	3.42	4
1994	0	4	5	6	8	3	2	6	5	7	8	7	5.08	4
1995	6	5	5	8	7	8	6	8	9	9	8	4	6.92	4
1996	0	0	1	1	5	7	2	3	1	6	1	0	2.25	5
1997	0	0	0	0	0	1	2	3	10	10	8	7	3.42	4
1998	6	5	7	7	8	9	9	12	9	8	4	3	7.25	3
1999	0	2	0	0	1	0	0	0	1	6	3	0	1.08	3
2000	0	0	0	2	1	1	0	0	0	2	1	0	0.58	3
2001	0	0	0	6	4	0	1	1	2	6	0	6	2.17	3
2002	4	5	5	4	4	3	1	0	2	6	7	5	3.83	3
2003	5	3	3	6	7	1	6	5	5	6	7	5	4.92	4
2004	1	2	4	5	5	0	0	0	6	5	4	1	2.75	4
2005	3	5	5	7	7	3	3	0	7	8	5	1	4.50	4
2006	2	4	0	4	7	4	1	4	5	10	4	5	4.17	3
2007	5	2	3	5	6	3	4	1	0	4	0	1	2.83	3
2008	0	0	0	1	0	0	0	1	4	10	5	1	1.83	3
2009	0	0	2	2	0	1	2	6	6	6	5	4	2.83	3
2010	3	5	6	8	8	8	10	8	8	1	0	0	5.42	2
2011	0	0	0	2	1	2	0	0	1	1	1	0	0.67	2
2012	0	0	0	2	0	0	0	0	2	2	3	0	0.75	2
2013	2	3	3	2	3	0	1	1	2	1	2	2	1.83	2
2014	0	0	4	3	6	1	1	1	4	3	3	2	2.33	3
2015	0	0	6	2	7	4	0	0	6	9	8	6	4.00	3
2016	5	5	5	6	7	7	4	5	3	2	5	2	4.67	2
